iter,nth,x,iter_converged,error,time_1,time_2,result
1,766,712,30,1.32248e-06,0.009,0.004726,1.00861
2,161,827,30,1.53668e-06,0.004,0.003519,1.04261
3,481,352,29,1.30385e-06,0.004,0.002991,1.01226
4,969,156,28,1.14739e-06,0.003,0.002883,1.00522
5,432,416,29,1.54227e-06,0.002,0.002862,1.01406
6,128,875,30,1.62609e-06,0.003,0.003146,1.05435
7,463,830,30,1.54227e-06,0.002,0.0029,1.01462
8,801,307,29,1.13621e-06,0.003,0.002826,1.00718
9,995,591,30,1.0971e-06,0.004,0.003043,1.00644
10,78,537,29,1.99303e-06,0.004,0.003123,1.08393
11,884,767,30,1.42492e-06,0.003,0.002953,1.00754
12,123,987,30,1.83471e-06,0.004,0.003162,1.05765
13,512,230,28,1.69873e-06,0.004,0.002818,1.01068
14,70,852,30,1.58325e-06,0.003,0.002935,1.10119
15,230,466,29,1.72853e-06,0.004,0.002988,1.02707
16,38,865,30,1.60746e-06,0.004,0.00309,1.19479
17,479,70,27,1.01328e-06,0.003,0.00286,1.00891
18,745,745,30,1.38395e-06,0.004,0.002973,1.00892
19,613,864,30,1.6056e-06,0.002,0.003074,1.01109
20,665,198,28,1.46031e-06,0.003,0.002766,1.00798
21,932,409,29,1.51619e-06,0.002,0.002829,1.00647
22,689,690,30,1.2815e-06,0.004,0.002941,1.00953
23,219,951,30,1.76765e-06,0.003,0.002987,1.03181
24,658,247,28,1.82539e-06,0.004,0.002862,1.00841
25,201,709,30,1.31689e-06,0.003,0.003127,1.0332
26,281,742,30,1.37836e-06,0.003,0.003092,1.0238
27,823,122,27,1.78814e-06,0.004,0.002806,1.00585
28,542,146,28,1.07288e-06,0.003,0.002797,1.00924
29,296,207,28,1.52737e-06,0.004,0.00296,1.01818
30,897,45,26,1.2815e-06,0.004,0.002764,1.00425
31,9,83,27,1.20699e-06,0.003,0.002892,1.63392
32,848,774,30,1.43796e-06,0.004,0.003109,1.00787
33,88,639,30,1.1865e-06,0.004,0.00303,1.07617
34,244,986,30,1.83284e-06,0.003,0.002992,1.02866
35,775,432,29,1.60187e-06,0.004,0.002946,1.00786
36,152,293,29,1.08406e-06,0.003,0.002953,1.03808
37,763,455,29,1.68756e-06,0.004,0.002854,1.00805
38,919,186,28,1.37091e-06,0.003,0.002911,1.0057
39,919,589,30,1.09337e-06,0.004,0.002903,1.00696
40,601,654,30,1.21444e-06,0.003,0.003069,1.01085
41,509,962,30,1.78814e-06,0.004,0.003038,1.01359
42,956,501,29,1.85892e-06,0.003,0.00285,1.00652
43,288,208,28,1.53482e-06,0.004,0.003094,1.01871
44,546,705,30,1.30944e-06,0.003,0.003026,1.01208
45,200,374,29,1.38581e-06,0.004,0.003082,1.03006
46,92,203,28,1.49757e-06,0.003,0.003005,1.05945
47,643,85,27,1.2368e-06,0.004,0.002811,1.00693
48,538,375,29,1.38953e-06,0.002,0.002922,1.01108
49,411,330,29,1.2219e-06,0.003,0.002968,1.01421
50,592,161,28,1.18464e-06,0.002,0.002929,1.00862
51,439,629,30,1.16788e-06,0.003,0.003099,1.01479
52,494,172,28,1.2666e-06,0.002,0.002985,1.01047
53,334,400,29,1.48267e-06,0.003,0.002891,1.0181
54,518,768,30,1.42679e-06,0.002,0.003029,1.01291
55,134,468,29,1.73599e-06,0.003,0.003005,1.04695
56,295,16,24,1.66893e-06,0.002,0.002763,1.00944
57,693,671,30,1.24611e-06,0.002,0.002891,1.00944
58,941,126,27,1.84774e-06,0.002,0.002868,1.00515
59,220,758,30,1.40816e-06,0.003,0.003176,1.0306
60,832,726,30,1.34856e-06,0.003,0.003022,1.00795
61,211,219,28,1.61678e-06,0.004,0.002862,1.02587
62,487,706,30,1.3113e-06,0.004,0.003081,1.01356
63,504,879,30,1.63354e-06,0.003,0.002973,1.01354
64,788,191,28,1.40816e-06,0.004,0.002819,1.00669
65,310,249,28,1.84029e-06,0.003,0.002962,1.01796
66,117,350,29,1.2964e-06,0.004,0.003055,1.05134
67,12,295,29,1.09151e-06,0.004,0.003135,1.60627
68,58,403,29,1.49384e-06,0.003,0.002964,1.10897
69,902,988,30,1.83657e-06,0.004,0.002854,1.00767
70,378,519,29,1.92598e-06,0.003,0.002814,1.01668
71,30,250,28,1.84774e-06,0.003,0.002972,1.20207
72,604,602,30,1.11759e-06,0.004,0.002859,1.01065
73,965,190,28,1.40071e-06,0.003,0.002925,1.00545
74,891,829,30,1.54041e-06,0.004,0.002967,1.00757
75,911,930,30,1.72853e-06,0.004,0.003003,1.00753
76,879,141,28,1.03563e-06,0.004,0.002859,1.00565
77,920,281,29,1.03936e-06,0.003,0.00293,1.00615
78,121,521,29,1.93343e-06,0.004,0.003044,1.05306
79,378,736,30,1.36718e-06,0.004,0.003077,1.01762
80,731,754,30,1.40071e-06,0.003,0.002991,1.00911
81,722,789,30,1.4659e-06,0.004,0.002986,1.00928
82,689,994,30,1.84774e-06,0.002,0.002933,1.01007
83,50,835,30,1.55158e-06,0.002,0.003129,1.14402
84,742,189,28,1.39326e-06,0.003,0.002978,1.00709
85,842,81,27,1.17719e-06,0.003,0.0028,1.00523
86,263,341,29,1.26287e-06,0.003,0.003155,1.02242
87,956,581,30,1.07847e-06,0.003,0.003069,1.00668
88,677,573,30,1.06357e-06,0.003,0.002932,1.00942
89,875,287,29,1.06171e-06,0.002,0.002887,1.00649
90,967,556,30,1.03191e-06,0.002,0.002856,1.00656
91,229,520,29,1.9297e-06,0.003,0.003043,1.02769
92,961,998,30,1.85519e-06,0.003,0.002985,1.00721
93,384,587,30,1.08965e-06,0.002,0.003011,1.01674
94,165,657,30,1.22003e-06,0.004,0.003047,1.0401
95,962,844,30,1.56835e-06,0.003,0.002947,1.00703
96,491,615,30,1.1418e-06,0.004,0.002992,1.01316
97,814,765,30,1.4212e-06,0.003,0.002959,1.00819
98,147,950,30,1.76579e-06,0.004,0.003079,1.04775
99,868,114,27,1.66893e-06,0.003,0.002829,1.00547
100,570,684,30,1.27032e-06,0.004,0.002954,1.01152
101,896,926,30,1.72108e-06,0.003,0.002901,1.00765
102,147,269,28,1.98931e-06,0.003,0.002866,1.03879
103,794,558,30,1.03563e-06,0.003,0.002941,1.008
104,52,658,30,1.2219e-06,0.003,0.003003,1.13291
105,587,19,25,1.01328e-06,0.002,0.002726,1.00503
106,25,88,27,1.2815e-06,0.002,0.002845,1.19613
107,621,182,28,1.3411e-06,0.003,0.002795,1.00841
108,717,447,29,1.65775e-06,0.002,0.002938,1.00855
109,193,683,30,1.26846e-06,0.003,0.00305,1.03439
110,654,434,29,1.60933e-06,0.003,0.002882,1.00933
111,121,360,29,1.33365e-06,0.004,0.003067,1.04985
112,161,474,29,1.75834e-06,0.003,0.003118,1.03901
